Geography,Num_Households,Median_income_Households,Unemployment rate; Estimate; Population 16 years and over,Percent_below_poverty,population,Males,Females
Alabama,1856695,46472,7.4,18,4850771,2350806,2499965
Alaska,252536,76114,7.7,10.2,738565,386319,352246
Arizona,2482311,53510,7.1,17,6809946,3385055,3424891
Arkansas,1147291,43813,6.3,18.1,2977944,1461651,1516293
California,12888128,67169,7.7,15.1,38982847,19366579,19616268
Colorado,2082531,65458,5.2,11.5,5436519,2731315,2705204
Connecticut,1361755,73781,7.2,10.1,3594478,1754046,1840432
Delaware,352357,63036,6.4,12.1,943732,456876,486856
District of Columbia,277985,77649,8,17.4,672391,319046,353345
Florida,7510882,50883,7.2,15.5,20278447,9914361,10364086
Georgia,3663104,52977,7.5,16.9,10201635,4968887,5232748
Hawaii,455502,74923,4.9,10.3,1421658,713981,707677
Idaho,609124,50985,5.4,14.5,1657375,830627,826748
Illinois,4818452,61229,7.4,13.5,12854526,6312600,6541926
Indiana,2537189,52182,6.1,14.6,6614418,3258279,3356139
Iowa,1251587,56570,4.1,12,3118102,1548035,1570067
Kansas,1121943,55477,4.8,12.8,2903820,1445980,1457840
Kentucky,1724514,46535,6.8,18.3,4424376,2179025,2245351
Louisiana,1737645,46710,7.2,19.6,4663461,2281239,2382222
Maine,554061,53024,5.3,12.9,1330158,651040,679118
Maryland,2181093,78916,6.1,9.7,5996079,2906277,3089802
Massachusetts,2585715,74167,6,11.1,6789319,3293426,3495893
Michigan,3888646,52668,7.4,15.6,9925568,4880579,5044989
Minnesota,2153202,65699,4.3,10.5,5490726,2731831,2758895
Mississippi,1103514,42009,8.8,21.5,2986220,1448717,1537503
Missouri,2386203,51542,5.8,14.6,6075300,2981332,3093968
Montana,419975,50801,4.8,14.4,1029862,517860,512002
Nebraska,748405,56675,3.8,12,1893921,943547,950374
Nevada,1052249,55434,8,14.2,2887725,1450091,1437634
New Hampshire,526710,71305,4.5,8.1,1331848,659131,672717
New Jersey,3199111,76475,7,10.7,8960161,4372321,4587840
New Mexico,770435,46718,7.7,20.6,2084828,1032086,1052742
New York,7302710,62765,6.8,15.1,19798228,9604111,10194117
North Carolina,3874346,50320,7.2,16.1,10052564,4895368,5157196
North Dakota,311525,61285,2.7,11,745475,382121,363354
Ohio,4633145,52407,6.5,14.9,11609756,5686081,5923675
Oklahoma,1468971,49767,5.7,16.2,3896251,1930615,1965636
Oregon,1571631,56119,6.8,14.9,4025127,1993822,2031305
Pennsylvania,5007442,56951,6.5,13.1,12790505,6260160,6530345
Rhode Island,412028,61043,6.8,13.4,1056138,512581,543557
South Carolina,1871307,48781,7.2,16.6,4893444,2376759,2516685
South Dakota,339458,54126,3.7,13.9,855444,430587,424857
Tennessee,2547194,48708,6.6,16.7,6597381,3217073,3380308
Texas,9430419,57051,5.8,16,27419612,13616977,13802635
Utah,938365,65325,4.4,11,2993941,1506614,1487327
Vermont,258535,57808,4.4,11.4,624636,308026,316610
Virginia,3105636,68766,5.5,11.2,8365952,4113988,4251964
Washington,2755697,66174,6,12.2,7169967,3580888,3589079
West Virginia,737671,44061,7.2,17.8,1836843,907621,929222
Wisconsin,2328754,56759,4.7,12.3,5763217,2864115,2899102
Wyoming,230237,60938,4.7,11.1,583200,298301,284899
Puerto Rico,1222606,19775,17.5,44.9,3468963,1653997,1814966
